reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2020-01-01 to 2020-12-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",78,288.67,13.33%,"22,516",78,"10,726",47.64%,21.51%,"$20,795,840.26",No,"BLUE 5","Extreme Values (More than 20,897 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 264.82 Users)","BLUE 3","Third Lowest 25% (11.64% - 13.39% of Users)","BLUE 5","Extreme Values (More than 2,472 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 736 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.74% - 54.97% of Total Users)","BLUE 3","Third Lowest 25% (20.38% - 23.01% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,375,817.97 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",71,277.65,11.67%,"19,713",71,"9,457",47.97%,18.97%,"$12,876,638.24",No,"BLUE 5","Extreme Values (More than 21,005 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (174.56 - 345.49 Users)","BLUE 3","Third Lowest 25% (10.40% - 12.06% of Users)","BLUE 5","Extreme Values (More than 2,237 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 681 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (35.44% - 56.03% of Total Users)","BLUE 3","Third Lowest 25% (18.71% - 21.17% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,640,935.53 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",78,137.91,6.37%,"10,757",78,"5,473",50.88%,10.98%,"$7,819,586.66",No,"BLUE 5","Extreme Values (More than 22,275 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 92.83 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.41% - 9.80% of Users)","BLUE 5","Extreme Values (More than 907 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 301 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (38.06% - 60.07% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.18% - 17.10% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $722,802.89 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"175,366",14,42.36,0.34%,593,14,123,20.74%,0.25%,"$1,949,063.66",No,"BLUE 5","Extreme Values (More than 33,238 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (32.00 - 51.59 Users)","BLUE 1","Lowest 25% (Less than 0.37% of Users)","BLUE 5","Extreme Values (More than 159 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 50 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.97% - 31.53% of Total Users)","BLUE 2","Second Lowest 25% (0.21% - 0.39% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,186,440.42 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"168,970",146,32.55,2.81%,"4,753",146,555,11.68%,1.11%,"$1,810,880.87",No,"BLUE 5","Extreme Values (More than 21,676 Beneficiaries)","BLUE 5","Extreme Values (More than 23 Providers)","BLUE 1","Lowest 25% (Less than 34.58 Users)","BLUE 2","Second Lowest 25% (2.51% - 3.93% of Users)","BLUE 5","Extreme Values (More than 1,021 Users)","BLUE 5","Extreme Values (More than 23.49 Providers)","BLUE 5","Extreme Values (More than 112 Dual Eligible Users)","BLUE 3","Third Lowest 25% (8.36% - 12.11% of Total Users)","BLUE 1","Lowest 25% (Less than 1.45% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $269,844.29 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"168,970",161,292.93,27.91%,"47,162",161,"20,489",43.44%,41.10%,"$16,804,774.64",No,"BLUE 5","Extreme Values (More than 20,568 Beneficiaries)","BLUE 5","Extreme Values (More than 52 Providers)","BLUE 5","Extreme Values (More than 277.92 Users)","BLUE 2","Second Lowest 25% (20.67% - 34.89% of Users)","BLUE 5","Extreme Values (More than 7,772 Users)","BLUE 5","Extreme Values (More than 52.99 Providers)","BLUE 5","Extreme Values (More than 1,458 Dual Eligible Users)","BLUE 5","Extreme Values (More than 40.17% of Total Users)","BLUE 3","Third Lowest 25% (39.78% - 53.12% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,997,036.20 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Dialysis,COUNTY,MI,WAYNE,26,163,"175,366",67,45.90,1.75%,"3,075",67,"1,713",55.71%,3.45%,"$74,438,177.19",No,"BLUE 5","Extreme Values (More than 28,658 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (35.00 - 47.66 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.22% - 2.13% of Users)","BLUE 5","Extreme Values (More than 243 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 140 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.73% - 70.79% of Total Users)","BLUE 3","Third Lowest 25% (2.39% - 3.52% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $6,002,496.40 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"175,366",35,88.91,1.77%,"3,112",35,"2,126",68.32%,4.28%,"$1,227,025.81",No,"BLUE 5","Extreme Values (More than 26,040 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (80.67 - 139.49 Users)","BLUE 2","Second Lowest 25% (1.48% - 3.58% of Users)","BLUE 5","Extreme Values (More than 1,322 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 574 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (50.00% - 81.15% of Total Users)","BLUE 1","Lowest 25% (Less than 5.85% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $593,393.98 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Home Health",COUNTY,MI,WAYNE,26,163,"175,366",208,86.01,10.20%,"17,891",208,"7,446",41.62%,14.98%,"$84,342,779.72",No,"BLUE 5","Extreme Values (More than 22,327 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (68.00 - 123.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.41% - 13.65% of Users)","BLUE 5","Extreme Values (More than 1,645 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 369 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.97% - 43.35% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.48% - 18.33% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $8,624,118.47 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Hospice,COUNTY,MI,WAYNE,26,163,"175,366",35,105.43,2.10%,"3,690",35,"1,159",31.41%,2.33%,"$38,055,257.46",No,"BLUE 5","Extreme Values (More than 23,245 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (71.50 - 130.44 Users)","BLUE 2","Second Lowest 25% (1.98% - 2.44% of Users)","BLUE 5","Extreme Values (More than 584 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 142 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (28.10% - 47.97% of Total Users)","BLUE 1","Lowest 25% (Less than 2.50% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,629,267.70 )"," "," "," "," "," "," "," "," "," "," "
